pert_id	SMILES
BRD-A50311610	CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl
BRD-A50684349	C1C[NH2+]CC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O
BRD-A50928468	CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
BRD-A51182606	C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
BRD-A51382177	CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2CC(CC2C(=O)[O-])C3CCCCC3
BRD-A51714012	CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O
BRD-A51820102	C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
BRD-A51964809	CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O.Cl
BRD-A52530684	CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)[NH3+])O
BRD-A53131506	CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C
BRD-A53576514	CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C
BRD-A53952395	CCCNC(C)C(=O)NC1=CC=CC=C1C
BRD-A54236247	CC(C(C1=CC=CC=C1)O)NC
BRD-A54596827	C1CN2CCC1[C@H](C2)OC(=O)N3CCC4=CC=CC=C4[C@@H]3C5=CC=CC=C5.Cl
BRD-A54635441	CCC(=O)O[C@](CC1=CC=CC=C1)(C2=CC=CC=C2)[C@H](C)CN(C)C
BRD-A54845972	CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C
BRD-A54880345	CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2
BRD-A55424491	CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
BRD-A55815733	CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C
BRD-A55913614	CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2
BRD-A55962179	CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
